
1	139	417	0	417
2	278	417	139	417
0	417	417	278	417
0	278	417	417	417
0	417	417	278	417
8	417	278	417	417
6	417	139	417	278
12	278	139	417	139
12	417	139	278	139
7	417	0	417	139
7	417	139	417	0
12	278	139	417	139
3	278	278	278	139
3	278	139	278	278
3	278	278	278	139
9	139	278	278	278
9	278	278	139	278
6	417	278	278	278
8	417	417	417	278
0	278	417	417	417
2	139	417	278	417
2	278	417	139	417
2	139	417	278	417
9	139	278	139	417
14	139	139	139	278
11	0	139	139	139
10	0	0	0	139
10	0	139	0	0
4	0	278	0	139
14	139	278	0	278
9	139	417	139	278
1	0	417	139	417
14	0	278	0	417
9	139	278	0	278
9	0	278	139	278
4	0	139	0	278
4	0	278	0	139
4	0	139	0	278
10	0	0	0	139
10	0	139	0	0
10	0	0	0	139
10	0	139	0	0
10	0	0	0	139
13	139	0	0	0
5	278	0	139	0
7	417	0	278	0
7	278	0	417	0
3	278	139	278	0
12	417	139	278	139
12	278	139	417	139
12	417	139	278	139
12	278	139	417	139
6	278	278	278	139
9	139	278	278	278
11	139	139	139	278
6	278	139	139	139
12	417	139	278	139
7	417	0	417	139
3	278	0	417	0
5	139	0	278	0
5	278	0	139	0
5	139	0	278	0
13	0	0	139	0
13	139	0	0	0
13	0	0	139	0
13	139	0	0	0
13	0	0	139	0
13	139	0	0	0
13	0	0	139	0
13	139	0	0	0
5	278	0	139	0
5	139	0	278	0
5	278	0	139	0
5	139	0	278	0
5	278	0	139	0
5	139	0	278	0
6	139	139	139	0
12	278	139	139	139
9	278	278	278	139
9	278	139	278	278
12	139	139	278	139
10	0	139	139	139
4	0	278	0	139
11	139	278	0	278
9	278	278	139	278
2	278	417	278	278
1	139	417	278	417
9	139	278	139	417
11	0	278	139	278
14	0	417	0	278
14	0	278	0	417
11	139	278	0	278
2	278	278	139	278
12	278	139	278	278
7	417	139	278	139
7	278	139	417	139
5	278	0	278	139
5	278	139	278	0
12	278	278	278	139
1	278	417	278	278
1	278	278	278	417
2	139	278	278	278
10	139	139	139	278
6	139	0	139	139
13	0	0	139	0
4	0	139	0	0
6	139	139	0	139
6	0	139	139	139
6	139	139	0	139
6	0	139	139	139
11	0	278	0	139
11	0	139	0	278
4	0	0	0	139
13	139	0	0	0
5	278	0	139	0
5	139	0	278	0
6	139	139	139	0
6	139	0	139	139
6	139	139	139	0
6	139	0	139	139
6	139	139	139	0
4	0	139	139	139
13	0	0	0	139
6	139	0	0	0
6	0	0	139	0
6	139	0	0	0
5	278	0	139	0
3	417	0	278	0
3	278	0	417	0
12	278	139	278	0
12	278	0	278	139
3	417	0	278	0
3	278	0	417	0
3	417	0	278	0
3	278	0	417	0
5	139	0	278	0
5	278	0	139	0
12	278	139	278	0
2	278	278	278	139
2	278	139	278	278
4	139	139	278	139
4	278	139	139	139
12	278	0	278	139
5	139	0	278	0
6	0	0	139	0
13	0	139	0	0
11	0	278	0	139
14	0	417	0	278
9	139	417	0	417
1	278	417	139	417
1	139	417	278	417
9	0	417	139	417
14	0	278	0	417
14	0	417	0	278
14	0	278	0	417
10	139	278	0	278
4	139	139	139	278
4	139	278	139	139
2	278	278	139	278
12	278	139	278	278
4	139	139	278	139
2	139	278	139	139
2	139	139	139	278
4	278	139	139	139
12	278	278	278	139
12	278	139	278	278
12	278	278	278	139
8	417	278	278	278
7	417	139	417	278
7	417	278	417	139
0	417	417	417	278
0	417	278	417	417
7	417	139	417	278
3	417	0	417	139
5	278	0	417	0
12	278	139	278	0
4	139	139	278	139
6	139	0	139	139
6	139	139	139	0
6	139	0	139	139
6	139	139	139	0
2	139	278	139	139
9	139	417	139	278
9	139	278	139	417
8	278	278	139	278
1	278	417	278	278
9	139	417	278	417
14	0	417	139	417
14	139	417	0	417
9	278	417	139	417
1	278	278	278	417
7	417	278	278	278
7	278	278	417	278
7	417	278	278	278
7	278	278	417	278
4	278	139	278	278
12	278	0	278	139
12	278	139	278	0
2	139	139	278	139
2	278	139	139	139
3	417	139	278	139
7	417	278	417	139
0	417	417	417	278
1	278	417	417	417
4	278	278	278	417
